,Country,CURRENT_ACCOUNT_NET,FINANCIAL_LOANS,Net_Lending_Borrowing_Balance,SUPPLEMENTARY_NET,TRANSPORT_SERVICES_NET
0,"Afghanistan, Islamic Rep. of",5506547002,-1564553,-2383613858,-1553397435,839449568
1,Albania,2210472810,50749872,-1148904938,-443376690,2484816
2,Algeria,17445134687,-18053296,-18228363587,-34732018451,2042610083
3,Angola,-5858757657,-154604098,873133752,-1945375961,2035429912
4,Anguilla,114163416,-88252527,-81803098,-87702358,8281523
5,Antigua and Barbuda,148470412,-1903704,-191144005,-248472236,25142673
6,Argentina,-12094415411,96231788,2853124479,-4059793046,863342033
7,"Armenia, Rep. of",1264106213,-131891733,-325971769,-603562270,181554260
8,"Aruba, Kingdom of the Netherlands",200488450,11232428,-304252751,-115877891,44256470
9,Australia,-50453000000,-4433408624,31790211693,15039810845,6021363359
10,Austria,-12998000000,846076882,12418586619,14156351487,318086945
11,"Azerbaijan, Rep. of",329066000,-307134000,-234943000,-159315145,-342693000
12,Bangladesh,18300384906,47004532,1406228336,11291366037,4381083272
13,"Belarus, Rep. of",-1947600000,99100000,-171100000,-2850197906,-1914300000
14,Belgium,-8879000000,-3299711234,5410959881,6437583669,-811493948
15,Belize,187195108,0,-113646287,-44921591,35791377
16,Benin,435724020,-124545270,-98964199,194006209,241527210
17,Bermuda,696022077,479171703,853849630,871374883,116231547
18,Bhutan,401795400,0,-237140220,4312042,19682906
19,Bolivia,634879464,0,-14107329,-1767910052,379585526
20,Bosnia and Herzegovina,2789464928,-8894198,-446856780,290963660,-162180317
21,Botswana,2850596682,15257307,-1531276190,-3284379837,214731155
22,Brazil,-7713000000,-110597239,-24066679561,-38282026385,6962291897
23,Brunei Darussalam,-503987342,23089501,513713115,67856847,82937883
24,Bulgaria,-1343910000,379530000,978890000,7677871241,-485650000
25,Burkina Faso,-576815705,-165709218,1110889387,990144186,440182867
26,Cabo Verde,584424208,-3341740,-262497999,-350645258,3738151
27,Cambodia,2800991797,164927832,-622214230,14372069,1003749940
28,Cameroon,1088012800,-47327201,-1438386409,-1525162040,196189419
29,Canada,36829000000,7773489009,-35409043251,-34127172875,7364049275
30,Chile,-11444340119,507262396,-4951181915,-7821368309,1872037106
31,"China, P.R.: Hong Kong",-6664000000,7250610737,24114046821,58034743867,-9099480434
32,"China, P.R.: Macao",-514409691,11616741363,3784666222,6454355356,177085999
33,"China, P.R.: Mainland",-358570000000,135190390430,248760000000,276743930224,37991239817
34,Colombia,13104751155,-42061776,-9266809780,-4955418281,1048095859
35,"Congo, Dem. Rep. of the",624339926,0,-425602709,-717461124,1052515203
36,Costa Rica,-2476879154,-14046982,-614058044,-2368437830,307653584
37,"Croatia, Rep. of",3947379210,141535718,1043888378,1812637312,-315268031
38,Curaçao and Sint Maarten,928262772,13179967,-929055977,-586876006,14013769
39,"Curaçao, Kingdom of the Netherlands",694482615,18359208,-688539315,-435326136,23748579
40,Cyprus,332198717,-1204978360,-2546705560,-2508857186,-1551914397
41,Czech Rep.,-16708000000,989034362,7832372363,9874325882,-875982307
42,Côte d'Ivoire,-571594163,-116622467,-1799916932,-447802097,1410525793
43,Denmark,-22922000000,-6041614704,28633018100,27872278214,-10060959472
44,Djibouti,-270104486,82157652,402988883,587066360,-75847693
45,Dominica,207959631,-7030637,-76655880,-66013626,23044228
46,Dominican Rep.,5412500000,-4200000,-1336300000,621981618,1067100000
47,Eastern Caribbean Currency Union,1093174943,-116986452,-799929846,-783737773,203437812
48,Ecuador,-2496987694,-345640000,2514038118,6462433778,453291916
49,"Egypt, Arab Rep. of",32380693000,0,-14468556909,-22001498685,901090000
50,El Salvador,4324067255,-12188955,703470498,-683693733,300417575
51,"Estonia, Rep. of",43914102,126052231,208172570,571313233,-282819468
52,"Eswatini, Kingdom of",-121627075,114251,273053444,365846050,31765292
53,Euro Area,-377590000000,36372705047,226037000000,241068981190,-2842000000
54,"Fiji, Rep. of",747101833,1191552,-610592995,-628092748,83426368
55,Finland,-382082933,-2181786838,1961826134,2951904230,2753003778
56,France,46837000000,61792500019,-39078148734,-34540774663,1287707175
57,"Gambia, The",515297713,0,8603140,85963446,49474928
58,Georgia,3040800416,-45984001,-1939570029,-1813985560,111793439
59,Germany,-227760000000,41376292902,265274000000,265211083996,6088036660
60,Ghana,2468297850,1024136603,-1883829197,-1507174322,1503423135
61,Greece,12736823986,851736446,-9223838596,-7451804471,-4482509612
62,Grenada,165598268,12030756,-140895062,-84023571,40767427
63,Guatemala,6553973700,137611290,3919207840,7107710540,960670080
64,Guinea,-2682530000,0,2831880000,2952997898,1070800000
65,Guinea-Bissau,206849939,-11946086,-23014006,-74641544,50660926
66,Guyana,957089887,0,-347849433,-243141474,293829070
67,Honduras,3671066028,-283260,1036516464,3413880423,842706761
68,Hungary,-3095000000,1310081836,1545170842,8499696691,-939156851
69,Iceland,329009872,-16897266,175158403,-42554114,-232232712
70,India,8342000000,-560034071,31673718526,135526718526,-907607346
71,Indonesia,-18546000000,2412669707,-4396356930,-1800315247,4875260848
72,Iraq,4090200000,0,-6205700000,-14477899026,5149300000
73,Ireland,-82115000000,62219860146,-40538569518,-39030587716,1707789353
74,Israel,-18082600000,603100000,22560100000,60503240175,1630300000
75,Italy,-69268000000,12958521770,75625169303,80254740701,9067615717
76,Jamaica,2663823121,51573776,-187704362,253269094,550289424
77,Japan,7598000000,31951000000,148096000000,156698505233,6664051665
78,Jordan,7979718310,-86760563,-2481591549,-1373484310,1422112676
79,"Kazakhstan, Rep. of",-2771607556,-307299073,-10722670118,-11612367242,-1182250407
80,Kenya,8007857625,138904369,-4659953312,-5481489391,39762153
81,Kiribati,127542339,0,78233201,143814419,21281953
82,"Korea, Rep. of",-65935000000,3812200000,75515900000,92907400000,-1096800000
83,"Kosovo, Rep. of",2499807659,51352506,-520802659,-469858932,96375107
84,Kuwait,-3401190924,2665617101,23024475284,31291418115,2524040174
85,Kyrgyz Rep.,1615431957,-253405,454017171,562695482,199596041
86,Lao People's Dem. Rep.,-645249039,50123342,-218351348,100872027,36931186
87,Latvia,-340887433,-116665527,1510485040,2023536118,-782207410
88,Lebanon,6432412327,-1114534457,-1324167612,-14507137651,805871038
89,"Lesotho, Kingdom of",1077968512,8412680,75153841,188703671,46955079
90,Lithuania,-5306603679,1531205178,5152349029,4727314796,-4200680611
91,Luxembourg,-24259000000,15877378355,2266947998,2268759224,-1032996590
92,"Madagascar, Rep. of",1128980140,-2783199,-408491746,-179820155,164632675
93,Malawi,1940107913,478414,-728520849,-1039810346,17658419
94,Malaysia,-21604000000,318326130,14037884121,9418697424,6533625078
95,Maldives,662128038,249474,-1327423551,-1096370396,127078873
96,Mali,1143576815,-58495915,-159942405,200734980,825522800
97,Malta,-2570755887,-921786730,443798796,417086002,-209443257
98,"Marshall Islands, Rep. of the",44802779,0,101038811,101038914,19852399
99,Mauritius,2133622470,-1833858972,-1002712258,-1539406946,238659192
100,Mexico,-18679000000,-1483582089,22652023805,34649270953,7848097191
101,"Moldova, Rep. of",2696328906,31040000,-952568906,-328609508,54380000
102,Mongolia,-305323153,-6095975,-571775878,215111260,212138490
103,Montenegro,1669085978,-10809332,-1237017222,-774123933,-47656069
104,Montserrat,27753753,391481,12995747,28860562,2140891
105,Morocco,8812910272,-35530992,-1368064318,5944383203,486336735
106,"Mozambique, Rep. of",4291142314,6588662,-3765211535,-3581088723,-80080777
107,Namibia,1047971530,11929097,372379430,402046612,-47605850
108,Nepal,8923098092,0,31303320,2956541643,500585196
109,"Netherlands, The",-91782000000,-51415881178,46785890818,46554739750,-8759341184
110,New Zealand,-2054344452,-1222776398,-2429971416,-7022194250,803197521
111,Nicaragua,609400000,200000,567500000,1470830891,268900000
112,Niger,2204290497,-105928566,-1110395606,-1103068172,667971019
113,Nigeria,32241264094,1973039539,-15985927541,-17686557088,3284800062
114,"North Macedonia, Republic of",1582531345,5328046,-347368741,-231025546,-56235336
115,Norway,3348000000,-3809782524,4107263728,7956982100,-3718590094
116,Oman,-1697486584,-395578674,-12126866268,-14185948255,2440626118
117,Pakistan,24764874000,0,-436874000,818788533,2147874000
118,Panama,-2177976912,-2405441775,-178159892,5366959472,-4043581855
119,Papua New Guinea,-3892732293,9773111,3424712336,3864201879,287191358
120,Paraguay,-1357203465,43690195,863440434,2668837928,114206087
121,Peru,-3241151397,62011908,2238820915,7689340650,1782410500
122,Philippines,19908904994,1173969596,11641610558,27664020287,2525048850
123,"Poland, Rep. of",-34319000000,-374000000,23202000000,41939237516,-9918000000
124,Portugal,4386760194,-434679450,-42467040,-587659805,-2111258658
125,Qatar,-11868681318,-694505494,-3154120879,-2641759949,4285989011
126,Romania,10874690333,274600351,-7746213632,-1266470304,-4670675952
127,Russian Federation,-76653000000,4293400000,35278970000,21524890784,-3871040000
128,Rwanda,1648602395,20478417,-915007975,-587070298,179680611
129,Samoa,260271389,-597414,27460647,113186074,24246387
130,Saudi Arabia,-664000000,4530623957,-24658808436,-71066357682,12856404660
131,Senegal,4563895368,124864919,-2421043926,-2483874313,683905093
132,"Serbia, Rep. of",4677231022,29145352,-2211305998,-1899423664,239607827
133,Seychelles,92441576,-1965920,-152383376,-179645235,30377638
134,Sierra Leone,724488374,0,-235611747,-84871568,103685220
135,Singapore,-108710000000,-1594066522,57315511962,132146419939,8626035067
136,"Sint Maarten, Kingdom of the Netherlands",233780157,-5179241,-240516662,-151549870,-9734810
137,Slovak Rep.,-2331953162,210611760,1476698736,2965209308,-653017385
138,"Slovenia, Rep. of",-4854746561,393000609,3583313510,3775656990,-1356051883
139,Solomon Islands,127426603,0,37265919,89272975,15365004
140,South Africa,-15019579079,6073634008,6715671872,3310210222,2517505365
141,Spain,-18687000000,1499355720,14014555930,13754354306,-5802953045
142,Sri Lanka,5188536224,0,-1054939023,-2759144877,-114439999
143,St. Kitts and Nevis,76302083,1309996,-50337533,-39956344,29948970
144,St. Lucia,214524426,2650838,-207931504,-237722690,51914563
145,St. Vincent and the Grenadines,190409127,-3472851,-131431267,-119641444,27003561
146,Sudan,5454158298,0,-5697630404,-5671819470,573617161
147,Suriname,-601336026,-909779,259846201,176375929,62447267
148,Sweden,-24775000000,-19468213276,32650004661,32065137140,934853032
149,Switzerland,-43945000000,-84725036367,2835078406,125250078406,-998002883
150,"São Tomé and Príncipe, Dem. Rep. of",110759704,141718,-40854129,-21057009,17719017
151,"Tajikistan, Rep. of",1716308300,279362,524763212,1778904254,238972895
152,"Tanzania, United Rep. of",625517360,167256294,-777663908,-1570951814,-700973030
153,Thailand,-25933000000,1081093359,20976586980,39332344015,14662484302
154,"Timor-Leste, Dem. Rep. of",785314593,-9502707,-295586751,-295728774,50342529
155,Togo,667629634,85763030,352012441,547107983,113558021
156,Tonga,209905833,-677143,43563948,65253130,16869007
157,Trinidad and Tobago,344819602,-27208851,-1355947353,-1351670873,363437098
158,Tunisia,3585780617,0,-2168393667,-805734395,539049374
159,Tuvalu,47705435,0,10694227,17512172,6973331
160,"Türkiye, Rep. of",23515000000,-2381000000,-31924000000,-63769809458,-8097000000
161,Uganda,4634891496,-17718685,-3404742714,-2682792437,1348732938
162,Ukraine,2378000000,-18000000,5264000000,8228662137,-3169000000
163,United Kingdom,-8295000000,214648246594,-91738137871,-95962039142,-6509847594
164,United States,652880000000,170830000000,-602754000000,-593786479882,15481000000
165,Uruguay,-2427786439,27278628,-377548642,1252688749,453458478
166,"Uzbekistan, Rep. of",8101617548,2957575,-3002734732,-1231298684,831800373
167,Vanuatu,288067263,-15808661,136625777,205889576,51951284
168,West Bank and Gaza,5680064638,-50939766,-1471403724,-1434168249,220159966
169,Zambia,-1509749635,-5313351,1041662276,599339770,468564390
170,Zimbabwe,226006543,20000000,1395943863,1308155927,100962850
